typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,69,Ceramic products,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,469656.464,469656.464,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,6907,"Ceramic flags and paving, hearth or wall tiles, unglazed; unglazed ceramic mosaic cubes and the like, whether or not on a backing",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000,FALSE,8,kg,6000,FALSE,6000,FALSE,,FALSE,,53073.047,53073.047,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,690710,"Ceramic tiles, cubes and similar articles; unglazed, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7cm",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000,FALSE,8,kg,6000,FALSE,6000,FALSE,,FALSE,,53073.047,53073.047,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,6908,"Ceramic flags and paving, hearth or wall tiles, glazed; glazed ceramic mosaic cubes and the like, whether or not on a backing",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,2,m²,40734.149,TRUE,-1,N/A,0,FALSE,7000,FALSE,,FALSE,,230961.1,230961.1,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,690890,Ceramic flags and pavings; glazed,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,2,m²,40734.149,TRUE,-1,N/A,0,FALSE,7000,FALSE,,FALSE,,230961.1,230961.1,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,6911,"Tableware, kitchenware, other household articles and toilet articles; of porcelain or china",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23000,FALSE,8,kg,23000,FALSE,23000,FALSE,,FALSE,,185622.316,185622.316,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,691110,Tableware and kitchenware; of porcelain or china,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23000,FALSE,8,kg,23000,FALSE,23000,FALSE,,FALSE,,185622.316,185622.316,0,FALSE,TRUE
C,A,20170101,2017,52,2017,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,69,Ceramic products,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,227908.854,227908.854,0,FALSE,TRUE
C,A,20170101,2017,52,2017,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,6911,"Tableware, kitchenware, other household articles and toilet articles; of porcelain or china",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12008,FALSE,8,kg,12008,FALSE,12008,FALSE,,FALSE,,134883.765,134883.765,0,FALSE,TRUE
C,A,20170101,2017,52,2017,682,SAU,Saudi Arabia,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,691110,Tableware and kitchenware; of porcelain or china,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12008,FALSE,8,kg,12008,FALSE,12008,FALSE,,FALSE,,134883.765,134883.765,0,TRUE,FALSE
